file,module,ecosystem,total_lines,covered_lines,coverage_pct,test_exists,priority
"backend/admin-server/src/main/java/com/skybooker/adminserver/controller/AdminAggregationController.java","admin-server",backend,392,15,3.83,false,MEDIUM
"backend/admin-server/src/main/java/com/skybooker/adminserver/controller/AdminHealthController.java","admin-server",backend,2,1,50.00,false,MEDIUM
"backend/admin-server/src/main/java/com/skybooker/adminserver/config/AdminConfig.java","admin-server",backend,2,2,100.00,false,LOW
"backend/admin-server/src/main/java/com/skybooker/adminserver/AdminServerApplication.java","admin-server",backend,3,1,33.33,true,LOW
"backend/airline-airport-service/src/main/java/com/skybooker/airlineairportservice/AirlineAirportServiceApplication.java","airline-airport-service",backend,3,0,0.00,false,LOW
"backend/airline-airport-service/src/main/java/com/skybooker/airlineairportservice/service/impl/AirlineAirportServiceImpl.java","airline-airport-service",backend,50,25,50.00,true,HIGH
"backend/airline-airport-service/src/main/java/com/skybooker/airlineairportservice/dto/StaffAirlineAssignmentRequest.java","airline-airport-service",backend,4,0,0.00,false,LOW
"backend/airline-airport-service/src/main/java/com/skybooker/airlineairportservice/exception/GlobalExceptionHandler.java","airline-airport-service",backend,6,0,0.00,false,LOW
"backend/airline-airport-service/src/main/java/com/skybooker/airlineairportservice/exception/ResourceNotFoundException.java","airline-airport-service",backend,2,2,100.00,false,LOW
"backend/airline-airport-service/src/main/java/com/skybooker/airlineairportservice/service/ReferenceDataSeeder.java","airline-airport-service",backend,63,0,0.00,false,HIGH
"backend/airline-airport-service/src/main/java/com/skybooker/airlineairportservice/controller/AirlineAirportController.java","airline-airport-service",backend,19,0,0.00,false,MEDIUM
"backend/api-gateway/src/main/java/com/skybooker/apigateway/ApiGatewayApplication.java","api-gateway",backend,3,1,33.33,true,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/config/SecurityConfig.java","auth-service",backend,23,0,0.00,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/config/HttpClientConfig.java","auth-service",backend,2,0,0.00,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/dto/ProfileResponse.java","auth-service",backend,46,18,39.13,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/dto/GoogleLoginRequest.java","auth-service",backend,10,8,80.00,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/dto/RegisterRequest.java","auth-service",backend,31,27,87.10,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/dto/ResetPasswordRequest.java","auth-service",backend,10,9,90.00,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/dto/ForgotPasswordRequest.java","auth-service",backend,4,4,100.00,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/dto/UpdateProfileRequest.java","auth-service",backend,19,15,78.95,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/dto/AuthResponse.java","auth-service",backend,18,10,55.56,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/dto/ChangePasswordRequest.java","auth-service",backend,7,7,100.00,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/dto/LoginRequest.java","auth-service",backend,7,7,100.00,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/dto/ApiMessageResponse.java","auth-service",backend,6,0,0.00,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/service/AuthService.java","auth-service",backend,240,214,89.17,true,HIGH
"backend/auth-service/src/main/java/com/skybooker/authservice/entity/UserRole.java","auth-service",backend,4,4,100.00,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/entity/PasswordResetToken.java","auth-service",backend,23,11,47.83,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/entity/User.java","auth-service",backend,51,37,72.55,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/exception/GlobalExceptionHandler.java","auth-service",backend,23,0,0.00,false,LOW
"backend/auth-service/src/main/java/com/skybooker/authservice/exception/BadRequestException.java","auth-service",backend,2,2,100.00,false,LOW
